Lijn,Meldingnummer,Datum / tijd van aanmaak,Vestiging (Ruimte),Naam aanmelder,Soort melding,Categorie,Subcategorie,Status,Behandelaarsgroep,Behandelaar,Leverancier,Gereed,Afgemeld,Aantal dagen openstaand,Doorlooptijd,Gerealiseerde doorlooptijd,SLA-streefdatum,Verzoek,Actie
Tweedelijns melding,M2404 13072,2024-04-12 14:31:07,,no-reply.ws,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,2,2 weken,0 days,,"12-04-2024 14:31 fb Huisvestingonderhoud, Mail import: 
Afzender: no-reply.ws@worksphere.nl
Datum verzonden: 12-apr-2024 14:28
Naar: huisvesting.onderhoud@amsterdam.nl
Onderwerp: Afmeldbon #3624506, locatie [1018ET04] P2 VST91 Vergadercentrum, AMSTERDAM

Geachte heer/mevrouw,

Bijgevoegd vindt u een digitale versie van de volgende afmeldbon: 
Ons kenmerk: 3624506 / Q324906002
Datum: 12/04/2024

Met vriendelijke groet,

Emre Comertpay
SPIE Building Solutions B.V.

Om pdf-bestanden te kunnen lezen heeft u Adobe Acrobat Reader nodig. 
U kunt deze gratis downloaden via deze link: http://www.adobe.com/nl/products/acrobat/readstep2.html",
Tweedelijns melding,M2404 13186,2024-04-12 15:36:07,,no-reply.ws,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,2,2 weken,0 days,,"12-04-2024 15:36 fb Huisvestingonderhoud, Mail import: 
Afzender: no-reply.ws@worksphere.nl
Datum verzonden: 12-apr-2024 15:31
Naar: huisvesting.onderhoud@amsterdam.nl
Onderwerp: Afmeldbon #3622297, opdrachtnummer v/d klant  inkoopordernummer 558148, locatie [1012GL01] P1 OVW300 Stadsbank v Lening, AMSTERDAM

Geachte heer/mevrouw,

Bijgevoegd vindt u een digitale versie van de volgende afmeldbon: 
Uw kenmerk:  inkoopordernummer 558148
Ons kenmerk: 3622297 / Q324905445
Datum: 12-04-2024

Met vriendelijke groet,

Marco van der Stoop
SPIE Building Solutions B.V.

Om pdf-bestanden te kunnen lezen heeft u Adobe Acrobat Reader nodig. 
U kunt deze gratis downloaden via deze link: http://www.adobe.com/nl/products/acrobat/readstep2.html",
Tweedelijns melding,M2404 13187,2024-04-12 15:36:08,,no-reply.ws,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,2,2 weken,0 days,,"12-04-2024 15:36 fb Huisvestingonderhoud, Mail import: 
Afzender: no-reply.ws@worksphere.nl
Datum verzonden: 12-apr-2024 15:31
Naar: huisvesting.onderhoud@amsterdam.nl
Onderwerp: Afmeldbon #3622297, opdrachtnummer v/d klant  inkoopordernummer 558148, locatie [1012GL01] P1 OVW300 Stadsbank v Lening, AMSTERDAM

Geachte heer/mevrouw,

Bijgevoegd vindt u een digitale versie van de volgende afmeldbon: 
Uw kenmerk:  inkoopordernummer 558148
Ons kenmerk: 3622297 / Q324905445
Datum: 12-04-2024

Met vriendelijke groet,

Marco van der Stoop
SPIE Building Solutions B.V.

Om pdf-bestanden te kunnen lezen heeft u Adobe Acrobat Reader nodig. 
U kunt deze gratis downloaden via deze link: http://www.adobe.com/nl/products/acrobat/readstep2.html",
Tweedelijns melding,M2404 13276,2024-04-12 17:06:07,,Astralift Afd. Service,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,2,2 weken,0 days,,"12-04-2024 17:06 fb Huisvestingonderhoud, Mail import: 
Afzender: service@astralift.nl
Datum verzonden: 12-apr-2024 17:01
Naar: ""Huisvesting.onderhoud@amsterdam.nl"" <Huisvesting.onderhoud@amsterdam.nl>
Onderwerp: Uw servicebon 217634

Geachte heer/mevrouw,

Onze monteur heeft een bezoek gebracht aan uw liftinstallatie. Bijgaand vindt u de bijbehorende servicebon met zijn bevinden en eventuele opmerkingen..

Vriendelijke groet,

Astralift Serviceteam",
Tweedelijns melding,M2404 13743,2024-04-15 09:59:14,,Mail Delivery System,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,1,2 weken,0 days,,"15-04-2024 09:59 fb Huisvestingonderhoud, Mail import: 
Afzender: MAILER-DAEMON@topdesksaas.nullroute
Datum verzonden: 15-apr-2024 9:58
Naar: huisvesting.onderhoud@topdesk.amsterdam.nl
Onderwerp: Undelivered Mail Returned to Sender

This is the mail system at host nl3smtp01n01.topdesk.net.

I'm sorry to have to inform you that your message could not
be delivered to one or more recipients. It's attached below.

For further assistance, please send mail to postmaster.

If you do so, please include this problem report. You can
delete your own text from the attached returned message.

The mail system

<Huisvestinginspecties.FB@amsterdam.n>: Host or domain name not found. Name
    service error for name=amsterdam.n type=A: Host not found",
Tweedelijns melding,M2404 13897,2024-04-15 10:49:15,,Mail Delivery System,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,1,2 weken,0 days,,"15-04-2024 10:49 fb Huisvestingonderhoud, Mail import: 
Afzender: MAILER-DAEMON@topdesksaas.nullroute
Datum verzonden: 15-apr-2024 10:45
Naar: huisvesting.onderhoud@topdesk.amsterdam.nl
Onderwerp: Undelivered Mail Returned to Sender

This is the mail system at host nl3smtp01n01.topdesk.net.

I'm sorry to have to inform you that your message could not
be delivered to one or more recipients. It's attached below.

For further assistance, please send mail to postmaster.

If you do so, please include this problem report. You can
delete your own text from the attached returned message.

The mail system

<Huisvestinginspecties.FB@amsterdam.n>: Host or domain name not found. Name
    service error for name=amsterdam.n type=A: Host not found",
Tweedelijns melding,M2404 13921,2024-04-15 10:54:14,,Mail Delivery System,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,1,2 weken,0 days,,"15-04-2024 10:54 fb Huisvestingonderhoud, Mail import: 
Afzender: MAILER-DAEMON@topdesksaas.nullroute
Datum verzonden: 15-apr-2024 10:49
Naar: huisvesting.onderhoud@topdesk.amsterdam.nl
Onderwerp: Undelivered Mail Returned to Sender

This is the mail system at host nl3smtp01n01.topdesk.net.

I'm sorry to have to inform you that your message could not
be delivered to one or more recipients. It's attached below.

For further assistance, please send mail to postmaster.

If you do so, please include this problem report. You can
delete your own text from the attached returned message.

The mail system

<Huisvestinginspecties.FB@amsterdam.n>: Host or domain name not found. Name
    service error for name=amsterdam.n type=A: Host not found",
Tweedelijns melding,M2404 13923,2024-04-15 10:54:24,,Mail Delivery System,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,1,2 weken,0 days,,"15-04-2024 10:54 fb Huisvestingonderhoud, Mail import: 
Afzender: MAILER-DAEMON@topdesksaas.nullroute
Datum verzonden: 15-apr-2024 10:54
Naar: huisvesting.onderhoud@topdesk.amsterdam.nl
Onderwerp: Undelivered Mail Returned to Sender

This is the mail system at host nl3smtp01n01.topdesk.net.

I'm sorry to have to inform you that your message could not
be delivered to one or more recipients. It's attached below.

For further assistance, please send mail to postmaster.

If you do so, please include this problem report. You can
delete your own text from the attached returned message.

The mail system

<Huisvestinginspecties.FB@amsterdam.n>: Host or domain name not found. Name
    service error for name=amsterdam.n type=A: Host not found",
Tweedelijns melding,M2404 14002,2024-04-15 11:09:14,,Mail Delivery System,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,1,2 weken,0 days,,"15-04-2024 11:09 fb Huisvestingonderhoud, Mail import: 
Afzender: MAILER-DAEMON@topdesksaas.nullroute
Datum verzonden: 15-apr-2024 11:07
Naar: huisvesting.onderhoud@topdesk.amsterdam.nl
Onderwerp: Undelivered Mail Returned to Sender

This is the mail system at host nl3smtp01n01.topdesk.net.

I'm sorry to have to inform you that your message could not
be delivered to one or more recipients. It's attached below.

For further assistance, please send mail to postmaster.

If you do so, please include this problem report. You can
delete your own text from the attached returned message.

The mail system

<Huisvestinginspecties.FB@amsterdam.n>: Host or domain name not found. Name
    service error for name=amsterdam.n type=A: Host not found",
Tweedelijns melding,M2404 14168,2024-04-15 11:54:13,,Opdracht,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,1,2 weken,0 days,,"15-04-2024 11:54 fb Huisvestingonderhoud, Mail import: 
Afzender: opdracht@accuut.nl
Datum verzonden: 15-apr-2024 11:51
Naar: ""'huisvesting.onderhoud@amsterdam.nl'"" <huisvesting.onderhoud@amsterdam.nl>
Onderwerp: 706832 : Glas Herstel - Van Heenvlietlaan 50, 1083 CL Amsterdam

Goedemorgen,

In verband met de opdracht onder referentie:  M2309 17600, hebben wij geprobeerd meerdere malen telefonisch contact te zoeken met de bewoner voor een afspraak.
Helaas lukt het ons niet om de bewoner te bereiken.

Wij hebben dan ook het verzoek vanuit de Gemeente de bewoner op de hoogte gesteld kan worden hiervan. Als jullie eventueel een ander telefoonnummer of email adres kunnen achterhalen, graag?

Wij hopen spoedig hierover een terugkoppeling te ontvangen.

Met vriendelijke groet,

Glashandel Accuut
Salome Zwart

Van Slingelandtstraat 35A
1051 CG AMSTERDAM

Tel: 020-6829557",
Tweedelijns melding,M2404 14169,2024-04-15 11:54:14,,Mail Delivery System,Serviceverzoek,Huisvesting en gebouwbeheer,,Nieuw,TBO - Technisch Beheer en Onderhoud (FB),TBO - Technisch Beheer en Onderhoud (FB),,False,False,1,2 weken,0 days,,"15-04-2024 11:54 fb Huisvestingonderhoud, Mail import: 
Afzender: MAILER-DAEMON@topdesksaas.nullroute
Datum verzonden: 15-apr-2024 11:53
Naar: huisvesting.onderhoud@topdesk.amsterdam.nl
Onderwerp: Undelivered Mail Returned to Sender

This is the mail system at host nl3smtp01n01.topdesk.net.

I'm sorry to have to inform you that your message could not
be delivered to one or more recipients. It's attached below.

For further assistance, please send mail to postmaster.

If you do so, please include this problem report. You can
delete your own text from the attached returned message.

The mail system

<k.sardjoepersad@ammsterdam.nl>: Host or domain name not found. Name service
    error for name=ammsterdam.nl type=A: Host not found",
